eccid	chr_hg19	start_hg19	end_hg19	tissue
ecc595887	chr11	102414340	102625062	Esophagus
ecc595888	chr11	102811513	103075091	Esophagus
ecc595889	chr11	102818857	102847014	Bone
ecc595890	chr11	103243886	103244409	Breast
ecc595891	chr11	104861398	104891801	Breast
ecc595892	chr11	104952983	105056539	Bone
ecc595893	chr11	105113051	105814770	Breast
ecc595894	chr11	106002383	110405538	Ovary
ecc595895	chr11	107256366	107256902	Lung
ecc595896	chr11	107321233	107321688	Brain
ecc595897	chr11	109734410	109754966	Head and Neck
ecc595898	chr11	110864314	111527475	Stomach
ecc595899	chr11	114055828	114056364	Lung
ecc595900	chr11	114432849	114433273	Esophagus
ecc595901	chr11	115194362	115194865	Lung
ecc595902	chr11	116814646	116840662	Bone
ecc595903	chr11	116975715	117592999	Bone
ecc595904	chr11	117817526	129126874	Bone
ecc595905	chr11	120749043	120769257	Ovary
ecc595906	chr11	121583538	121604226	Breast
ecc595907	chr11	122845129	135006515	Prostate
ecc595908	chr11	122967004	122967614	Connective tissue
ecc595909	chr11	125547330	126447433	Esophagus
ecc595910	chr11	125700358	134406078	Esophagus
ecc595911	chr11	127296132	127296729	Lung
ecc595912	chr11	127646189	127646782	Stomach
ecc595913	chr11	127713011	127713570	Esophagus
ecc595914	chr11	128229282	129906408	Lung
ecc595915	chr11	129377735	129819900	Head and Neck
ecc595916	chr11	129378567	133798883	Bone
ecc595917	chr11	131603596	131604170	Lung
ecc595918	chr11	132048237	134452200	Liver
ecc595919	chr11	134034974	134707311	Bone
ecc595920	chr11	134501540	134701964	Esophagus
ecc595921	chr11	134838969	135006516	Esophagus
ecc595922	chr12	1	1387709	Skin
ecc595923	chr12	1	24689138	Esophagus
ecc595924	chr12	1	2731401	Esophagus
ecc595925	chr12	110107	12795686	Liver
ecc595926	chr12	110107	13520594	Skin
ecc595927	chr12	110107	14621093	Ovary
ecc595928	chr12	110107	223140	Pancreatic
ecc595929	chr12	110107	24061030	Liver
ecc595930	chr12	110107	33299999	Pancreatic
ecc595932	chr12	627473	12107499	Pancreatic
ecc595933	chr12	688543	8670801	Breast
ecc595934	chr12	789901	33621107	Head and Neck
ecc595935	chr12	789901	9342725	Ovary
ecc595936	chr12	889901	1237057	Ovary
ecc595937	chr12	889901	18387945	Lung
ecc595938	chr12	889901	2628811	Skin
ecc595939	chr12	889901	44285652	Lung
ecc595940	chr12	889901	46040814	Ovary
ecc595941	chr12	889901	8309381	Bladder
ecc595942	chr12	1241813	3411467	Ovary
ecc595943	chr12	1542157	2127776	Connective tissue
ecc595944	chr12	1862157	33621107	Esophagus
ecc595945	chr12	1932835	2424407	Connective tissue
ecc595946	chr12	1989229	2196427	Cervix
ecc595947	chr12	2338090	24421819	Ovary
ecc595948	chr12	2877397	3200933	Skin
ecc595949	chr12	3159148	4532076	Brain
ecc595950	chr12	3513253	5208339	Bone
ecc595951	chr12	3525837	4916462	Connective tissue
ecc595952	chr12	3871969	4072709	Skin
ecc595953	chr12	4018215	6350742	Connective tissue
ecc595954	chr12	4236782	4467909	Skin
ecc595955	chr12	4265304	4716901	Brain
ecc595956	chr12	5713572	12310267	Skin
ecc595957	chr12	5820419	6140185	Bone
ecc595958	chr12	6401673	6528068	Bone
ecc595959	chr12	6523222	15508108	Ovary
ecc595960	chr12	6598979	6843230	Connective tissue
ecc595961	chr12	6848731	11933523	Breast
ecc595962	chr12	6936875	6937451	Stomach
ecc595963	chr12	7946898	8147540	Brain
ecc595964	chr12	8268048	8468468	Esophagus
ecc595965	chr12	8309399	8698471	Bladder
ecc595966	chr12	8576614	8987255	Connective tissue
ecc595967	chr12	8656570	8937799	Connective tissue
ecc595968	chr12	8862247	33299999	Ovary
ecc595969	chr12	9075751	12024959	Pancreatic
ecc595970	chr12	9706815	10170037	Bone
ecc595971	chr12	9834607	10167294	Stomach
ecc595972	chr12	10413842	12602973	Bone
ecc595973	chr12	10508974	10684364	Connective tissue
ecc595974	chr12	11256079	11470840	Connective tissue
ecc595975	chr12	12311055	12511796	Skin
ecc595976	chr12	12507475	12861082	Stomach
ecc595977	chr12	12781122	13140019	Bone
ecc595978	chr12	13330763	13331299	Lung
ecc595980	chr12	13593262	24703244	Skin
ecc595981	chr12	13858451	14252884	Connective tissue
ecc595982	chr12	14150158	15573410	Bone
ecc595983	chr12	14653405	14656008	Connective tissue
ecc595984	chr12	14692698	15058946	Connective tissue
ecc595985	chr12	14727894	14928512	Connective tissue
ecc595986	chr12	14962949	15564976	Connective tissue
ecc595987	chr12	15926945	16194276	Connective tissue
ecc595988	chr12	17205041	17335523	Connective tissue
ecc595989	chr12	17250599	17422178	Bone
ecc595990	chr12	17681724	19932801	Lung
ecc595991	chr12	17746436	19963547	Connective tissue
ecc595992	chr12	17928327	20212069	Bladder
ecc595993	chr12	18388665	25362552	Lung
ecc595994	chr12	18910090	18930629	Ovary
ecc595995	chr12	19145999	19948135	Bladder
ecc595996	chr12	19487484	31678244	Pancreatic
ecc595997	chr12	19788544	20023980	Connective tissue
ecc595998	chr12	19808301	33621107	Lung
ecc595999	chr12	19977895	33830335	Stomach
ecc596000	chr12	20307730	20605216	Lung
ecc596001	chr12	20614206	26257579	Connective tissue
ecc596002	chr12	20681020	25576867	Pancreatic
ecc596003	chr12	20880491	29168178	Stomach
ecc596004	chr12	21023505	21024146	Connective tissue
ecc596005	chr12	21423171	21423727	Esophagus
ecc596006	chr12	21858964	26187033	Pancreatic
ecc596007	chr12	21879227	26962197	Esophagus
ecc596008	chr12	22433783	24677052	Pancreatic
ecc596009	chr12	23727293	23747958	Connective tissue
ecc596010	chr12	24052341	33299999	Ovary
ecc596011	chr12	24222207	30689600	Esophagus
ecc596012	chr12	24264603	25642069	Lung
ecc596013	chr12	24384603	26922069	Stomach
ecc596014	chr12	24446701	47025350	Liver
ecc596015	chr12	24885716	25312720	Uterine Corpus Endometrial
ecc596016	chr12	25000203	32539813	Esophagus
ecc596017	chr12	25074603	25972069	Bladder
ecc596018	chr12	25251110	25639471	Stomach
ecc596019	chr12	25370173	25402069	Lung
ecc596020	chr12	25404603	39223566	Lung
ecc596021	chr12	26105288	26346766	Connective tissue
ecc596022	chr12	26428881	26675094	Connective tissue
ecc596023	chr12	26448769	30782829	Esophagus
ecc596024	chr12	26611659	34876914	Skin
ecc596025	chr12	26719539	30513114	Pancreatic
ecc596026	chr12	26853988	27110402	Ovary
ecc596027	chr12	27859963	27977584	Uterine Corpus Endometrial
ecc596028	chr12	28002390	29912394	Connective tissue
ecc596029	chr12	28886094	33299999	Ovary
ecc596030	chr12	28931988	29886882	Esophagus
ecc596031	chr12	29335424	30554157	Ovary
ecc596032	chr12	29881952	32554691	Head and Neck
ecc596033	chr12	30122533	30161959	Connective tissue
ecc596034	chr12	30500663	30511446	Liver
ecc596035	chr12	30501064	30511741	Pancreatic
ecc596036	chr12	31207051	31494832	Connective tissue
ecc596037	chr12	31274986	31959035	Bone
ecc596038	chr12	31353450	31353948	Ovary
ecc596039	chr12	31509389	31735810	Connective tissue
ecc596040	chr12	32104303	32634230	Connective tissue
ecc596041	chr12	32574594	32765497	Head and Neck
ecc596042	chr12	32819014	33299999	Bone
ecc596043	chr12	33858714	34208109	Connective tissue
ecc596044	chr12	34016773	34017333	Stomach
ecc596045	chr12	34016785	34017335	Skin
ecc596046	chr12	34229103	34249522	Stomach
ecc596047	chr12	34314591	34354970	Bone
ecc596048	chr12	34552455	34553120	Connective tissue
ecc596049	chr12	37760381	37964302	Skin
ecc596050	chr12	37793967	37994387	Brain
ecc596051	chr12	38301291	38608147	Connective tissue
ecc596052	chr12	39144345	39429056	Connective tissue
ecc596053	chr12	39532317	39994084	Connective tissue
ecc596054	chr12	39532673	39745786	Connective tissue
ecc596055	chr12	39572402	39815600	Connective tissue
ecc596056	chr12	39641593	39942812	Brain
ecc596057	chr12	39787114	41348347	Connective tissue
ecc596058	chr12	40055265	40493609	Brain
ecc596059	chr12	40105783	40106400	Connective tissue
ecc596060	chr12	40346316	40346908	Connective tissue
ecc596061	chr12	40778978	41009595	Connective tissue
ecc596062	chr12	41039193	41067386	Bone
ecc596063	chr12	41184048	41302003	Bone
ecc596064	chr12	41198468	42380889	Lung
ecc596065	chr12	41283345	41303919	Stomach
ecc596066	chr12	41407399	41647346	Connective tissue
ecc596067	chr12	41538922	42069007	Brain
ecc596068	chr12	41769822	41996796	Connective tissue
ecc596069	chr12	41780757	41816145	Esophagus
ecc596070	chr12	41830372	41889164	Stomach
ecc596071	chr12	41858965	41859819	Renal
ecc596072	chr12	42073104	43667593	Stomach
ecc596073	chr12	42119873	42543135	Connective tissue
ecc596074	chr12	42161027	43127863	Bone
ecc596075	chr12	42393126	42586693	Stomach
ecc596076	chr12	42438300	42697336	Connective tissue
ecc596077	chr12	42588121	42816314	Stomach
ecc596078	chr12	42645561	42869712	Skin
ecc596079	chr12	42646943	43015449	Connective tissue
ecc596080	chr12	42733143	43145518	Connective tissue
ecc596081	chr12	42779940	42815553	Connective tissue
ecc596082	chr12	43463051	43683827	Connective tissue
ecc596083	chr12	43691585	43692203	Connective tissue
ecc596084	chr12	43694124	43694623	Uterine Corpus Endometrial
ecc596085	chr12	43720252	44177930	Connective tissue
ecc596086	chr12	43822058	44051517	Connective tissue
ecc596087	chr12	44190820	44299142	Connective tissue
ecc596088	chr12	44399288	45936610	Brain
ecc596089	chr12	44485316	44873788	Connective tissue
ecc596090	chr12	44656891	45182108	Connective tissue
ecc596091	chr12	45663997	45664614	Connective tissue
ecc596092	chr12	45802717	46010371	Stomach
ecc596093	chr12	45983839	46203338	Connective tissue
ecc596094	chr12	46190259	46260128	Connective tissue
ecc596095	chr12	46405460	46748643	Stomach
ecc596096	chr12	46467243	48346647	Skin
ecc596097	chr12	46501454	46712143	Connective tissue
ecc596098	chr12	46538825	46968900	Connective tissue
ecc596099	chr12	46540610	46601640	Cervix
ecc596100	chr12	46620199	46853397	Bladder
ecc596101	chr12	46639216	48421449	Connective tissue
ecc596102	chr12	46671453	47061274	Connective tissue
ecc596103	chr12	46939265	49140858	Connective tissue
ecc596104	chr12	47009108	47009770	Connective tissue
ecc596105	chr12	47246158	48049378	Bladder
ecc596106	chr12	47429354	47629995	Connective tissue
ecc596107	chr12	47743689	47944114	Stomach
ecc596108	chr12	47767534	48337365	Esophagus
ecc596109	chr12	47828051	48059985	Connective tissue
ecc596110	chr12	47856960	47857601	Connective tissue
ecc596111	chr12	47942028	48700282	Connective tissue
ecc596112	chr12	47960212	48432226	Connective tissue
ecc596113	chr12	48073326	48663229	Connective tissue
ecc596114	chr12	48331349	48615413	Connective tissue
ecc596115	chr12	48375615	49372322	Skin
ecc596116	chr12	48575014	49165437	Connective tissue
ecc596117	chr12	48598609	48599274	Connective tissue
ecc596118	chr12	48641249	49097408	Connective tissue
ecc596119	chr12	48700377	48701018	Connective tissue
ecc596120	chr12	48761210	48761827	Connective tissue
ecc596121	chr12	48900871	49025484	Connective tissue
ecc596122	chr12	49275910	49276527	Connective tissue
ecc596123	chr12	49820096	49866455	Connective tissue
ecc596124	chr12	49834385	50055869	Connective tissue
ecc596125	chr12	49945680	50168089	Connective tissue
ecc596126	chr12	49958103	50240058	Connective tissue
ecc596127	chr12	50778578	51119440	Connective tissue
ecc596128	chr12	50785752	51256781	Connective tissue
ecc596129	chr12	50843555	50844217	Connective tissue
ecc596130	chr12	50867118	50887418	Connective tissue
ecc596131	chr12	51000635	52275340	Esophagus
ecc596132	chr12	51604819	51664341	Connective tissue
ecc596133	chr12	51667367	51668057	Connective tissue
ecc596134	chr12	51704436	52483211	Connective tissue
ecc596135	chr12	51715332	59254515	Connective tissue
ecc596136	chr12	51995965	52027425	Connective tissue
ecc596137	chr12	52011853	52012412	Stomach
ecc596138	chr12	52089370	52395384	Connective tissue
ecc596139	chr12	52194398	52521631	Connective tissue
ecc596140	chr12	52376542	53385814	Connective tissue
ecc596141	chr12	52397590	52418280	Connective tissue
ecc596142	chr12	52663645	53417033	Connective tissue
ecc596143	chr12	52809116	53017083	Connective tissue
ecc596144	chr12	53144361	53345008	Connective tissue
ecc596145	chr12	53204996	53205519	Skin
ecc596146	chr12	53344829	53378353	Stomach
ecc596147	chr12	53768014	55740621	Cervix
ecc596149	chr12	53896953	60146257	Skin
ecc596150	chr12	53905526	60402924	Connective tissue
ecc596151	chr12	54035676	54236196	Stomach
ecc596152	chr12	54212728	54413286	Stomach
ecc596153	chr12	54428682	54429275	Stomach
ecc596154	chr12	54478441	54478887	Head and Neck
ecc596155	chr12	54596236	54887790	Connective tissue
ecc596156	chr12	54608208	54808785	Esophagus
ecc596157	chr12	54614117	54814637	Stomach
ecc596158	chr12	54692400	55160710	Brain
ecc596159	chr12	54808197	55247021	Connective tissue
ecc596160	chr12	54902806	59755747	Connective tissue
ecc596161	chr12	54959181	55408207	Connective tissue
ecc596162	chr12	54976543	55385357	Connective tissue
ecc596163	chr12	54980141	54980734	Connective tissue
ecc596164	chr12	54991287	55031222	Bone
ecc596165	chr12	55067061	55267620	Stomach
ecc596166	chr12	55314403	55752093	Bone
ecc596167	chr12	55609756	58815919	Connective tissue
ecc596168	chr12	55649632	56097046	Connective tissue
ecc596169	chr12	56196071	62507458	Skin
ecc596170	chr12	56231801	56266450	Connective tissue
ecc596171	chr12	56231801	56539493	Stomach
ecc596172	chr12	56274324	56570625	Brain
ecc596173	chr12	56276052	56276742	Connective tissue
ecc596174	chr12	56307018	61490681	Connective tissue
ecc596175	chr12	56320073	56538903	Connective tissue
ecc596176	chr12	56409987	56610507	Stomach
ecc596177	chr12	56412975	56484784	Connective tissue
ecc596178	chr12	56441873	60389336	Bone
ecc596179	chr12	56480095	56501328	Connective tissue
ecc596180	chr12	56887490	60802833	Brain
ecc596181	chr12	57118256	57341455	Liver
ecc596182	chr12	57127168	60879087	Brain
ecc596183	chr12	57187825	65038630	Connective tissue
ecc596184	chr12	57193235	57213693	Bladder
ecc596185	chr12	57243967	57469026	Connective tissue
ecc596186	chr12	57251607	59298022	Skin
ecc596187	chr12	57345003	57549453	Brain
ecc596188	chr12	57381018	58405962	Brain
ecc596189	chr12	57385232	58305438	Brain
ecc596190	chr12	57395820	58376309	Esophagus
ecc596191	chr12	57422257	59561147	Connective tissue
ecc596192	chr12	57474918	57722453	Brain
ecc596193	chr12	57592795	59303930	Brain
ecc596194	chr12	57660866	58853495	Connective tissue
ecc596195	chr12	57672720	59746377	Brain
ecc596196	chr12	57701402	59821551	Connective tissue
ecc596197	chr12	57748098	59371318	Connective tissue
ecc596198	chr12	57785422	57815922	Ovary
ecc596199	chr12	57806009	58399043	Connective tissue
ecc596200	chr12	57822971	58785774	Connective tissue
ecc596201	chr12	57823191	58510132	Ovary
ecc596202	chr12	57833907	58811318	Brain
ecc596203	chr12	57885439	57906072	Skin
ecc596204	chr12	57904067	58631822	Brain
ecc596205	chr12	57905523	58960770	Connective tissue
ecc596206	chr12	57930354	58400722	Brain
ecc596207	chr12	57956762	58431802	Brain
ecc596208	chr12	57996609	58376862	Brain
ecc596209	chr12	58011963	58258571	Brain
ecc596210	chr12	58019615	62582737	Brain
ecc596211	chr12	58030230	58278721	Brain
ecc596212	chr12	58038770	58480972	Stomach
ecc596213	chr12	58049523	58728087	Brain
ecc596214	chr12	58114508	60534520	Skin
ecc596215	chr12	58137490	59982980	Bladder
ecc596216	chr12	58390873	59146036	Stomach
ecc596217	chr12	58543597	58876909	Connective tissue
ecc596218	chr12	58742847	59126884	Brain
ecc596219	chr12	58882350	59446257	Renal
ecc596220	chr12	59046745	67535935	Ovary
ecc596221	chr12	59148735	59556477	Brain
ecc596222	chr12	59401903	59608018	Connective tissue
ecc596223	chr12	59728781	59749824	Connective tissue
ecc596224	chr12	59780477	60008721	Connective tissue
ecc596225	chr12	59874266	63695053	Brain
ecc596226	chr12	59908997	59949562	Esophagus
ecc596227	chr12	60014256	60014946	Connective tissue
ecc596228	chr12	60039142	60119631	Connective tissue
ecc596229	chr12	60147877	62435717	Connective tissue
ecc596230	chr12	60214107	60621850	Connective tissue
ecc596231	chr12	60311937	60312578	Connective tissue
ecc596232	chr12	60367950	60368543	Stomach
ecc596233	chr12	60401026	60631684	Connective tissue
ecc596234	chr12	60433680	60678413	Connective tissue
ecc596235	chr12	60456458	60697663	Brain
ecc596236	chr12	60568226	60578658	Connective tissue
ecc596237	chr12	60715271	60925731	Brain
ecc596238	chr12	60757008	73086409	Connective tissue
ecc596239	chr12	60782837	61517478	Connective tissue
ecc596240	chr12	60894811	62578800	Connective tissue
ecc596241	chr12	60954734	60955401	Connective tissue
ecc596242	chr12	61025566	61360848	Connective tissue
ecc596243	chr12	61052912	61276730	Connective tissue
ecc596244	chr12	61265633	72480510	Stomach
ecc596245	chr12	61356276	64620902	Stomach
ecc596246	chr12	61422493	72716098	Esophagus
ecc596247	chr12	61465121	63458515	Connective tissue
ecc596248	chr12	61499575	71577369	Lung
ecc596249	chr12	61510249	61725119	Brain
ecc596250	chr12	61610006	61709957	Connective tissue
ecc596251	chr12	61636684	61866683	Connective tissue
ecc596252	chr12	61653659	61903615	Connective tissue
ecc596253	chr12	61966221	62410441	Skin
ecc596254	chr12	62068111	62271837	Connective tissue
ecc596255	chr12	62138629	62828228	Connective tissue
ecc596256	chr12	62139867	62140423	Esophagus
ecc596257	chr12	62334553	63056560	Connective tissue
ecc596258	chr12	62450035	62660568	Brain
ecc596259	chr12	62461893	62662444	Brain
ecc596260	chr12	62643421	73680823	Stomach
ecc596261	chr12	62678055	77317600	Stomach
ecc596262	chr12	62688607	62888132	Bone
ecc596263	chr12	62717675	64132387	Brain
ecc596264	chr12	62939714	62940307	Connective tissue
ecc596265	chr12	62977061	63190154	Connective tissue
ecc596266	chr12	62988293	63796187	Brain
ecc596267	chr12	63033848	63034371	Skin
ecc596268	chr12	63034426	63035019	Connective tissue
ecc596269	chr12	63091884	63142785	Connective tissue
ecc596270	chr12	63195413	65575006	Connective tissue
ecc596271	chr12	63199781	63200314	Brain
ecc596272	chr12	63215500	78960519	Connective tissue
ecc596273	chr12	63340996	69313699	Stomach
ecc596274	chr12	63346378	63812710	Connective tissue
ecc596275	chr12	63492654	63851299	Brain
ecc596276	chr12	63604969	71020701	Connective tissue
ecc596277	chr12	63610448	92256120	Prostate
ecc596278	chr12	63614545	63614819	Connective tissue
ecc596279	chr12	63988162	63988644	Head and Neck
ecc596280	chr12	64044910	64045504	Brain
ecc596281	chr12	64084662	64306352	Connective tissue
ecc596282	chr12	64107246	64682690	Brain
ecc596283	chr12	64140232	64449934	Brain
ecc596284	chr12	64182963	71917288	Connective tissue
ecc596285	chr12	64255383	64255977	Brain
ecc596286	chr12	64361461	64386017	Connective tissue
ecc596287	chr12	64377098	71534694	Lung
ecc596288	chr12	64406148	64811726	Brain
ecc596289	chr12	64571345	64787765	Connective tissue
ecc596290	chr12	64571398	71511462	Stomach
ecc596291	chr12	64661842	64939475	Connective tissue
ecc596292	chr12	64955912	64956602	Connective tissue
ecc596293	chr12	64993699	65428795	Brain
ecc596294	chr12	65062276	65297528	Connective tissue
ecc596295	chr12	65074396	65340367	Connective tissue
ecc596296	chr12	65206942	65672853	Bone
ecc596297	chr12	65234652	65235116	Bladder
ecc596298	chr12	65415047	65738486	Brain
ecc596299	chr12	65418841	65439505	Connective tissue
ecc596300	chr12	65429781	79632902	Connective tissue
ecc596301	chr12	65447516	66194763	Pancreatic
ecc596302	chr12	65652292	65976314	Esophagus
ecc596303	chr12	65683953	74423918	Skin
ecc596304	chr12	65727038	74913856	Connective tissue
ecc596305	chr12	65728937	73424967	Connective tissue
ecc596306	chr12	65876402	66957926	Connective tissue
ecc596307	chr12	65892579	65893112	Brain
ecc596308	chr12	65981927	66017291	Esophagus
ecc596309	chr12	66004333	66350424	Connective tissue
ecc596310	chr12	66017722	66018316	Brain
ecc596311	chr12	66096681	73161986	Esophagus
ecc596312	chr12	66118516	71822234	Bone
ecc596313	chr12	66131560	66342170	Connective tissue
ecc596314	chr12	66177404	70096661	Brain
ecc596315	chr12	66323778	72562069	Head and Neck
ecc596316	chr12	66505298	66956667	Breast
ecc596317	chr12	66515899	66764436	Brain
ecc596318	chr12	66579496	66867626	Brain
ecc596319	chr12	66960644	70169427	Skin
ecc596320	chr12	67029450	67030120	Connective tissue
ecc596321	chr12	67098111	70102224	Brain
ecc596322	chr12	67208300	71129774	Lung
ecc596323	chr12	67243289	67852702	Brain
ecc596324	chr12	67248128	75460227	Connective tissue
ecc596325	chr12	67290188	71987745	Skin
ecc596326	chr12	67350234	67595924	Connective tissue
ecc596327	chr12	67444151	67687768	Brain
ecc596328	chr12	67469088	75411408	Skin
ecc596329	chr12	67499367	74313084	Skin
ecc596330	chr12	67570620	67571237	Connective tissue
ecc596331	chr12	67626491	74405955	Connective tissue
ecc596332	chr12	67652162	67895515	Skin
ecc596333	chr12	67692788	72104403	Connective tissue
ecc596334	chr12	67766244	68062128	Brain
ecc596335	chr12	67856463	71732253	Connective tissue
ecc596336	chr12	67881925	70496152	Connective tissue
ecc596337	chr12	67912209	72074735	Esophagus
ecc596338	chr12	67980074	72133220	Skin
ecc596339	chr12	68049074	73181807	Stomach
ecc596340	chr12	68173064	74013792	Stomach
ecc596341	chr12	68323297	71543060	Brain
ecc596342	chr12	68388947	71619867	Connective tissue
ecc596343	chr12	68410054	68646416	Brain
ecc596344	chr12	68420750	72400334	Bladder
ecc596345	chr12	68509048	70567488	Bladder
ecc596346	chr12	68515199	68731165	Brain
ecc596347	chr12	68798463	68811637	Ovary
ecc596348	chr12	68842772	70083007	Prostate
ecc596349	chr12	68860860	70564949	Renal
ecc596350	chr12	68886862	71928921	Esophagus
ecc596351	chr12	68920414	69370548	Brain
ecc596352	chr12	68920860	70279998	Brain
ecc596353	chr12	69009663	69484482	Brain
ecc596354	chr12	69023198	71933218	Skin
ecc596355	chr12	69024628	69445487	Brain
ecc596356	chr12	69027961	69849046	Brain
ecc596357	chr12	69037548	71095045	Brain
ecc596358	chr12	69097773	70193376	Bladder
ecc596359	chr12	69483203	69683771	Stomach
ecc596360	chr12	70478646	70774110	Brain
ecc596361	chr12	70568390	70805167	Connective tissue
ecc596362	chr12	70834732	71035299	Stomach
ecc596363	chr12	71210773	71430468	Brain
ecc596364	chr12	71241152	71625607	Connective tissue
ecc596365	chr12	71487860	72346937	Brain
ecc596366	chr12	71578264	71830804	Lung
ecc596367	chr12	71584548	71605115	Stomach
ecc596368	chr12	71647446	72208825	Connective tissue
ecc596369	chr12	71864826	72108152	Bone
ecc596370	chr12	71866184	72108175	Uterine Corpus Endometrial
ecc596371	chr12	72073389	72383279	Uterine Corpus Endometrial
ecc596372	chr12	72076600	72077184	Esophagus
ecc596373	chr12	72304676	72326425	Esophagus
ecc596374	chr12	72336857	72568293	Connective tissue
ecc596375	chr12	72388459	72617368	Connective tissue
ecc596376	chr12	72911366	73124908	Connective tissue
ecc596377	chr12	73196107	73406564	Brain
ecc596378	chr12	73222637	74954394	Lung
ecc596379	chr12	73239060	73239510	Stomach
ecc596380	chr12	73267487	73268104	Connective tissue
ecc596381	chr12	73303582	73304096	Lung
ecc596382	chr12	73372115	74299971	Esophagus
ecc596383	chr12	73448263	73932169	Connective tissue
ecc596384	chr12	73454913	76379637	Connective tissue
ecc596385	chr12	73529857	73739975	Lung
ecc596386	chr12	73617100	74439058	Connective tissue
ecc596387	chr12	73667059	74253855	Stomach
ecc596388	chr12	73907360	73907874	Lung
ecc596389	chr12	74013889	74014506	Skin
ecc596390	chr12	74023492	75394005	Lung
ecc596391	chr12	74142461	74299971	Lung
ecc596392	chr12	74433391	75735144	Esophagus
ecc596393	chr12	74473964	74879776	Stomach
ecc596394	chr12	74713072	75833588	Connective tissue
ecc596395	chr12	74874692	75086825	Connective tissue
ecc596396	chr12	74954393	75160332	Connective tissue
ecc596397	chr12	74958869	75169478	Connective tissue
ecc596398	chr12	75018759	75297369	Connective tissue
ecc596399	chr12	75065305	75376061	Connective tissue
ecc596400	chr12	75149656	75371395	Skin
ecc596401	chr12	75371330	80234384	Connective tissue
ecc596402	chr12	75515072	77343903	Skin
ecc596403	chr12	75652527	77811704	Connective tissue
ecc596404	chr12	75682482	75901340	Connective tissue
ecc596405	chr12	75940708	76190996	Connective tissue
ecc596406	chr12	76137992	76351749	Connective tissue
ecc596407	chr12	76306955	76594585	Connective tissue
ecc596408	chr12	76452844	77859365	Connective tissue
ecc596409	chr12	76986232	77258630	Connective tissue
ecc596410	chr12	77008986	83911652	Connective tissue
ecc596411	chr12	77124552	77344935	Connective tissue
ecc596412	chr12	77165796	77186423	Connective tissue
ecc596413	chr12	77310675	77411337	Connective tissue
ecc596414	chr12	77441162	78287017	Connective tissue
ecc596415	chr12	77573591	77814876	Esophagus
ecc596416	chr12	78025847	78375407	Connective tissue
ecc596417	chr12	78095080	78349945	Bone
ecc596419	chr12	78245734	78562847	Connective tissue
ecc596420	chr12	78529763	91283947	Connective tissue
ecc596421	chr12	78681665	78765626	Esophagus
ecc596422	chr12	78765938	78766522	Esophagus
ecc596423	chr12	78951913	79750018	Connective tissue
ecc596424	chr12	79054174	79810881	Connective tissue
ecc596425	chr12	79845153	79885718	Esophagus
ecc596426	chr12	79921418	80161071	Connective tissue
ecc596427	chr12	80381984	80602568	Connective tissue
ecc596428	chr12	80382912	80383574	Connective tissue
ecc596429	chr12	80476474	80843068	Connective tissue
ecc596430	chr12	80997657	80998249	Connective tissue
ecc596431	chr12	81112649	81538996	Connective tissue
ecc596432	chr12	81209722	83274900	Skin
ecc596433	chr12	81326592	81697230	Connective tissue
ecc596434	chr12	81466106	81695429	Connective tissue
ecc596435	chr12	81558291	85600511	Stomach
ecc596436	chr12	81946683	82816794	Connective tissue
ecc596437	chr12	82051045	82051710	Connective tissue
ecc596438	chr12	82131956	82475532	Brain
ecc596439	chr12	82469152	82717312	Connective tissue
ecc596440	chr12	82493666	82791972	Brain
ecc596441	chr12	82618546	86517812	Connective tissue
ecc596442	chr12	82851676	83056020	Connective tissue
ecc596443	chr12	82865175	83097927	Connective tissue
ecc596444	chr12	83014904	83254672	Connective tissue
ecc596445	chr12	83443248	84382245	Connective tissue
ecc596446	chr12	83679393	93863877	Breast
ecc596447	chr12	83766062	84250116	Connective tissue
ecc596448	chr12	83891658	84105195	Connective tissue
ecc596449	chr12	84102432	85156542	Connective tissue
ecc596450	chr12	84436431	86014614	Connective tissue
ecc596451	chr12	84558448	84627540	Connective tissue
ecc596452	chr12	84644155	85468656	Connective tissue
ecc596453	chr12	85096712	85397352	Connective tissue
ecc596454	chr12	85312123	85538495	Connective tissue
ecc596455	chr12	85377582	86551357	Esophagus
ecc596456	chr12	85613964	85828668	Connective tissue
ecc596457	chr12	85847936	85948594	Connective tissue
ecc596458	chr12	85889231	86101078	Connective tissue
ecc596459	chr12	85979267	86219657	Connective tissue
ecc596460	chr12	86269754	86476386	Connective tissue
ecc596461	chr12	86276576	86721978	Connective tissue
ecc596462	chr12	86678903	86922823	Connective tissue
ecc596463	chr12	86799650	87141520	Connective tissue
ecc596464	chr12	86845781	86938589	Connective tissue
ecc596465	chr12	86870974	87813383	Connective tissue
ecc596466	chr12	86871874	87499821	Connective tissue
ecc596467	chr12	86918540	87197230	Connective tissue
ecc596468	chr12	86984520	87385831	Skin
ecc596469	chr12	87086039	99771072	Connective tissue
ecc596470	chr12	87472398	87715514	Connective tissue
ecc596471	chr12	88097450	89588485	Connective tissue
ecc596472	chr12	88102219	88102812	Stomach
ecc596473	chr12	88172023	90071361	Connective tissue
ecc596474	chr12	88250439	88251080	Connective tissue
ecc596475	chr12	88616925	88865183	Connective tissue
ecc596476	chr12	88687884	91859835	Connective tissue
ecc596477	chr12	88984254	96503400	Connective tissue
ecc596478	chr12	89347394	89615028	Brain
